TI ,AU ,AE ,AB%,DC,DC2,DC3,DC4
"Computer-implemented method for determining stationary state of detected vehicles in traffic, involves detecting a first vehicle by using multiple computing devices and identifying the stationary first vehicle",SILVER D H;  FERGUSON D I F,GOOGLE INC (GOOG-C),"%%%The%method%involves%detecting%a%vehicle%by%using%multiple%computing%devices.%The%stationary%vehicle%is%identified.%The%visible%indicia%of%the%vehicle%is%detected.%The%traffic%control%factors%related%to%the%vehicle%are%identified%by%the%computing%devices,%where%traffic%control%factors%includes%a%sign%or%a%road%marking%in%proximity%to%the%vehicle.%The%stationary%states%of%the%vehicle%is%determined%based%on%the%visible%indicia%and%identified%traffic%control%factors.%The%autonomous%vehicle%is%controlled%with%a%control%strategy%by%the%computing%devices.%%%%%-%Computer-implemented%method%for%determining%stationary%state%of%detected%vehicles%in%traffic.%%%%%-%The%method%involves%identifying%traffic%control%factors%related%to%the%vehicle%by%the%computing%devices,%where%traffic%control%factors%includes%a%sign%or%a%road%marking%in%proximity%to%the%first%vehicle,%and%thus%easy%detection%of%obstruction%in%the%traffic%is%ensured.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%system%for%determining%the%stationary%state%of%detected%vehicles.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%flowchart%of%a%method%for%determining%stationary%state%of%detected%vehicles%in%traffic.%%%%Detecting%a%vehicle%(910)%%%%Controlling%the%autonomous%vehicle%with%a%control%strategy%by%the%computing%devices%(930)%%%%Identifying%whether%the%detected%vehicle%provides%any%visible%indicia%for%indicating%type%of%stationary%state%of%the%detected%vehicle%(940)%%%%Identifying%indicia%related%to%the%traffic%control%factors%(950)%%%%Identifying%indicia%relating%to%the%length%of%the%time%in%which%detected%vehicle%is%stationary%(960)%",T01(DigitalComputers),NA,NA,US9558659-B1ProvisionalApplicationUS043558P
"Computer-implemented method for three dimensional (3D) position estimation of objects from monocular camera, involves providing instructions to control autonomous vehicle based on 3D location of object in environment",LO W;  FERGUSON D I,GOOGLE INC (GOOG-C),"%%%The%method%involves%determining%(302)%3D%locations%of%reference%points%and%receiving%(304)%two-dimensional%(2D)%image%of%portion%of%environment%from%a%camera%on%an%autonomous%vehicle.%The%reference%points%are%projected%into%2D%image%based%on%3D%locations.%The%reference%points%are%selected%(306)%such%that%they%form%polygon%in%the%2D%image.%An%intersection%point%of%ray%directed%toward%the%object%is%determined%(308)%and%3D%polygon%formed%by%selected%reference%points.%A%3D%location%of%the%object%in%environment%is%determined%(310)%and%instructions%to%control%the%autonomous%vehicle%is%provided.%%%%%-%Computer-implemented%method%for%3D%position%estimation%of%objects%from%monocular%camera%in%environment%of%an%autonomous%vehicle%such%as%cars,%trucks,%motorcycles,%bs,%boats,%airplanes,%helicopters,%lawn%mowers,%recreational%vehicles,%amment%park%vehicles,%farm%equipment,%construction%equipment,%trams,%golf%carts,%trains%and%trolleys.%%%%%-%The%location%of%objects%within%the%environment%of%an%autonomous%vehicle%is%determined%in%a%computationally%efficient%manner.%The%navigation%and%pathing%system%is%configured%to%update%the%driving%path%dynamically%while%the%vehicle%is%in%operation.%The%obstacle%avoidance%system%represents%a%control%system%configured%to%identify,%evaluate%and%avoid%or%otherwise%negotiate%potential%obstacles%in%the%environment%of%the%vehicle.%The%obstacle%avoidance%system%automatically%selects%the%maneuver%that%is%both%available%and%maximizes%safety%of%occupants%of%the%vehicle.%The%r%interface%controls%or%enables%control%of%content%and%the%layout%of%interactive%images%that%could%be%displayed%on%the%touchscreen.%By%determining%the%location%of%additional%points%including%points%at%a%variety%of%different%positions%and%altitudes,%locations%of%objects%within%the%environment%is%determined%more%precisely.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%a%vehicle;%and%%%%(2)%a%non-transitory%computer%readable%medium%having%stored%instructions,%that%when%executed%by%a%computing%system%perform%functions%for%3D%position%estimation%of%objects%from%monocular%camera.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%flow%diagram%illustrating%a%method%for%3D%position%estimation%of%objects%from%monocular%camera.%%%%Step%for%determining%3D%locations%of%reference%points%(302)%%%%Step%for%receiving%2D%image%of%portion%of%environment%from%a%camera%on%an%autonomous%vehicle%(304)%%%%Step%for%selecting%reference%points%such%that%they%form%polygon%in%the%2D%image%(306)%%%%Step%for%determining%intersection%point%of%ray%directed%toward%the%object%(308)%%%%Step%for%determining%3D%location%of%the%object%in%environment%(310)%",T01(DigitalComputers),T04(ComputerPeripheralEquipment),W04(Audio/VideoRecordingandSystems),"W06(Aviation,MarineandRadarSystems)"
"Method for indicating, by first radio access network (RAN) node, vehicle-to-everything (V2X) or road side unit (RSU) function support, by receiving second indication of V2X or RSU function support of second RAN node",XU J;  BYUN D,LG ELECTRONICS INC (GLDS-C),"%%%The%method%involves%transmitting%(S100)%a%first%indication%of%V2X%or%RSU%function%support%of%the%first%RAN%node%(eNB1)%to%a%second%RAN%node%(eNB2),%and%receiving%(S110)%a%second%indication%of%V2X%or%RSU%function%support%of%the%second%RAN%node%from%the%second%RAN%node.%%%%%-%Method%for%indicating,%by%first%radio%access%network%(RAN)%node,%vehicle-to-everything%(V2X)%or%road%side%unit%(RSU)%function%support%in%wireless%communication%system.%%%%%-%Transport%entities,%such%as%vehicles,%roadside%infrastructure,%and%pedestrians,%can%collect%knowledge%of%their%local%environment%(e.g.%information%received%from%other%vehicles%or%sensor%equipment%in%proximity)%to%process%and%share%that%knowledge%in%order%to%provide%more%intelligent%services,%such%as%cooperative%collision%warning%or%autonomous%driving.%The%vehicle-to-vehicle%payload%must%be%flexible%in%order%to%accommodate%different%information%contents,%and%the%information%can%be%transmitted%periodically%according%to%a%configuration%provided%by%the%mobile%network%operator.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%is%a%flow%diagram%which%shows%a%method%for%indicating%V2X%function%support.%%%%X2%setup%request%transmitting%step%(S100)%%%%X2%setup%response%receiving%step%(S110)%%%%First%RAN%node%(eNB1)%%%%Second%RAN%node%(eNB2)%",A85(Electricalapplications),T07(TrafficControlSystems),W01(TelephoneandDataTransmissionSystems),NA
"Autonomous cleaning system comprises multiple unmanned vehicles and a cleaning machine, where mission control system has a processor and a memory that is coupled to the processor and program instructions are executed by the processor",MCMILLION J B,MCMILLION J B (MCMI-Individual),"%%%The%autonomous%cleaning%system%comprises%multiple%unmanned%vehicles%and%a%cleaning%machine.%A%mission%control%system%has%a%processor%(2800)%and%a%memory%that%is%coupled%to%the%processor.%The%program%instructions%are%executed%by%the%processor.%The%parameter%is%received%for%a%cleaning%task.%An%extensible%pole%attachment%is%provided%for%the%unmanned%vehicle.%A%network%interface%is%coupled%to%an%enclosed%computing%system%that%provides%the%structural%base%of%a%housing%enclosure.%%%%%-%Autonomous%cleaning%system.%%%%%-%The%autonomous%cleaning%system%comprises%multiple%unmanned%vehicles%and%a%cleaning%machine,%where%mission%control%system%has%a%processor%and%a%memory%that%is%coupled%to%the%processor,%and%thus%enables%to%provide%easy%cleaning%and%enables%to%re-stabilize%the%vehicle.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%computer-implemented%method%for%providing%the%cleaning.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%block%diagram%of%an%automated%cleaning%machine%system.%%%%Automated%cleaning%machine%system%(1304)%%%%Processor%(2800)%%%%Operational%unit%controller%(2802)%%%%Cleaning%cycle%system%(2806)%%%%Floor%controller%(2820)%",T01(DigitalComputers),T06(ProcessandMachineControl),"W06(Aviation,MarineandRadarSystems)",NA
"Method for operating adaptive cruise control system of host vehicle e.g. passenger car, involves controlling host vehicle response based on following score which is generated for target vehicles based on measured data",ABDEL-RAHMAN A M;  PATEL S;  YUEN E C;  ABUDUL-REHMAN A M;  YUAN E C,GM GLOBAL TECHNOLOGY OPERATIONS INC (GENK-C);  GM GLOBAL TECHNOLOGIES OPERATIONS INC (GENK-C),"%%%The%method%involves%receiving%data%measured%from%sensors%(16).%The%measured%data%relates%to%one%or%more%target%vehicles%in%the%field%of%view%of%a%host%vehicle%(10).%A%following%score%is%generated%for%the%one%or%more%target%vehicles%based%on%the%measured%data,%such%that%the%following%score%is%representative%of%the%driving%behavior%of%the%particular%target%vehicle%in%terms%of%the%desirability%of%following%the%particular%target%vehicle%in%the%host%vehicle%that%is%equipped%with%an%adaptive%cruise%control%system.%The%host%vehicle%response%is%controlled%based%on%the%following%score.%%%%%-%Method%for%operating%adaptive%cruise%control%system%of%host%vehicle%e.g.%passenger%car.%Can%also%be%d%in%motorcycle,%truck,%sports%utility%vehicle%(SUV),%recreational%vehicle%and%semi%truck.%%%%%-%The%cruise%control%system%adapts%efficiently%to%the%driving%characteristics%of%surrounding%vehicles.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%control%system%for%vehicle.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%illustrating%the%process%for%operating%adaptive%cruise%control%system%of%host%vehicle.%(Drawing%includes%non-English%language%text)%%%%Host%vehicle%(10)%%%%Communication%system%(12)%%%%Intelligent%autonomous%control%module%(14)%%%%Sensor%(16)%%%%Vehicle%control%module%(18)%",X22(AutomotiveElectrics),NA,NA,NA
"System for validating accuracy of sensor, has processor that determines deviation value based on characteristics values, and use deviation value to determine whether sensor is accurately detecting object",ZHU J;  DOLGOV D A;  URMSON C P,GOOGLE INC (GOOG-C),"%%%The%system%has%processor%that%determines%a%deviation%value%based%on%the%first%characteristic%value%with%the%second%characteristic%value,%and%%the%deviation%value%to%determine%whether%the%first%sensor%is%accurately%detecting%the%object%by%comparing%the%deviation%value%to%a%deviation%threshold%value%identifying%an%acceptable%amount%of%difference%between%the%first%and%second%characteristic%values,%and%when%the%comparison%indicates%that%the%deviation%value%does%not%meet%the%deviation%threshold%value,%determine%that%the%first%sensor%has%had%an%operational%failure.%%%%%-%System%for%validating%accuracy%of%sensor.%%%%%-%The%autonomous%driving%computer%system%can%display%a%warning%to%a%passenger%of%the%autonomous%vehicle%when%the%autonomous%driving%computer%system%determines%that%the%sensor%being%cross-validated%is%experiencing%a%problem%e.g.,%not%accurately%reporting%a%detected%object,%and%the%warning%may%inform%the%passenger%which%sensor%is%not%operating%within%operational%parameters.%%%%%%-%INDEPENDENT%CLAIMS%are%also%included%for%the%following:%%%%(1)%a%method%for%validating%the%accuracy%of%a%sensor;%and%%%%(2)%a%non-transitory%computer%readable%medium%on%which%instructions%are%stored.%%%%%OF%DRAWING(S)%-%The%drawing%shows%the%schematic%view%of%the%autonomous%vehicle%detecting%one%or%more%vehicles%in%the%driving%environment.%%%%Autonomous%vehicle%(102)%%%%Sensor%field%(404)%%%%Camera%sensor%field%(424)%%%%Lane%line%(512)%%%%Lane%(520)%",T01(DigitalComputers),"W02(Broadcasting,RadioandLineTransmissionSystems)",X22(AutomotiveElectrics),US9555740-B1ContofApplicationUS628986;US9555740-B1ContofPatentUS9221396
"Method for facilitating communication between network devices e.g. cellular phones, over self-organized network, involves establishing autonomic control plane with registrar device by network device according to domain certificate",DU Z;  JIANG S;  LIU B,HUAWEI TECHNOLOGIES CO LTD (HUAW-C),"%%%The%method%(100)%involves%sending%(S130)%adjacency%discovery%(AD)%message%encapsulated%according%to%a%frame%of%a%data%link%layer%to%a%registrar%device%according%to%a%destination%data%link%layer%address.%A%domain%certificate%sent%by%a%registrar%device%is%received%(S140)%by%a%network%device,%where%the%domain%certificate%is%allocated%by%the%registrar%device%to%the%network%device%according%to%a%device%identifier%of%the%network%device%in%the%AD%message.%An%autonomic%control%plane%(ACP)%is%established%(S150)%with%the%registrar%device%by%the%network%device%according%to%the%domain%certificate.%%%%%-%Method%for%facilitating%communication%between%network%devices%e.g.%routers,%switches,%and%r%equipments%such%as%cellular%phones,%pocket%devices,%handheld%devices,%mobile%device%computers%and%vehicles,%over%a%self-organized%network%based%on%a%data%link%layer.%%%%%-%The%method%enables%providing%better%network%compatibility%as%communication%based%on%a%self-organizing%network%does%not%sense%an%internet%protocol%(IP)%protocol,%thus%reducing%obstacles%of%deployment%of%a%self-organizing%network.%%%%%%-%INDEPENDENT%CLAIMS%are%also%included%for%the%following:%%%%(1)%a%network%device%%%%(2)%a%registrar%device%%%%(3)%a%communication%system.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%flow%diagram%of%a%data%link%layer%communication%method.%'(Drawing%includes%non-English%language%text)'%%%%Communication%method%for%facilitating%communication%between%network%device%and%r%device%(S100)%%%%Step%for%encapsulating%AD%message%according%to%frame%of%data%link%layer%by%network%device%(S120)%%%%Step%for%sending%AD%message%encapsulated%according%to%frame%of%data%link%layer%to%registrar%device%(S130)%%%%Step%for%receiving%domain%certificate%sent%by%registrar%device%(S140)%%%%Step%for%establishing%ACP%with%registrar%device%according%to%domain%certificate%(S150)%",W01(TelephoneandDataTransmissionSystems),NA,NA,NA
"Method for controlling vehicle, involves generating nominal trajectory from location for vehicle to achieve mission goal by primary computing system and generating fall back trajectory from location for vehicle to safely stop vehicle",BARTON-SWEENEY A;  EGNOR D T;  FAIRFIELD N,GOOGLE INC (GOOG-C),"%%%The%method%(1100)%involves%generating%a%nominal%trajectory%from%a%location%for%a%vehicle%to%achieve%a%mission%goal%by%a%primary%computing%system,%and%generating%a%fall%back%trajectory%from%the%location%for%the%vehicle%to%safely%stop%the%vehicle.%The%fall%back%trajectory%is%sent%to%a%secondary%computing%system%by%the%primary%computing%system.%The%fall%back%trajectory%is%received%(1102)%by%the%secondary%computing%system.%The%vehicle%is%controlled%(1104)%according%to%the%fall%back%trajectory%by%the%secondary%computing%system.%%%%%-%Method%for%controlling%a%vehicle,%such%as%autonomous%vehicles.%%%%%-%The%method%involves%generating%a%nominal%trajectory%from%a%location%for%a%vehicle%to%achieve%a%mission%goal%by%a%primary%computing%system,%and%generating%a%fall%back%trajectory%from%the%location%for%the%vehicle%to%safely%stop%the%vehicle,%and%thus%ensures%safely%navigating%the%vehicle%to%a%stop%in%an%appropriate%location.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%system%for%controlling%a%vehicle.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%flow%chart%of%a%vehicle%controlling%method.%%%%Vehicle%controlling%method%(1100)%%%%Receiving%fall%back%trajectory%(1102)%%%%Controlling%vehicle%(1104)%%%%Waiting%for%an%updated%trajectory%from%the%primary%computing%system%while%controlling%the%vehicle%(1106)%%%%Continuing%to%control%the%vehicle%according%to%the%fall%back%trajectory%(1108)%",T01(DigitalComputers),T06(ProcessandMachineControl),NA,NA
"Non-transitory computer-readable medium for transporting passengers by transportation system such as vehicles, includes instruction for communicating estimated delivery time, vehicle and cargo compartment identifier to second client device",MARTENIS C C,AMAZON TECHNOLOGIES INC (AMAZ-C),"%%%The%non-transitory%computer-readable%medium%includes%instruction%for%determining%whether%estimated%delay%is%acceptable%based%on%a%comparison%of%estimated%delay%with%at%least%one%service%level%parameter.%The%vehicle%is%send%to%pickup%location%to%receive%item%in%response%to%determining%that%estimated%delay%is%acceptable.%The%delivery%location%is%communicated%(308)%to%vehicle%and%an%estimated%delivery%time%is%calculated%(310)%until%vehicle%arrives%at%delivery%location.%The%estimated%delivery%time,%vehicle%identifier%and%cargo%compartment%identifier%is%communicated%(312)%to%a%second%client%device.%%%%%-%Non-transitory%computer-readable%medium%for%transporting%individuals%or%passengers,%tangible%items,%goods%and%groceries%along%a%predetermined%route%at%predetermined%times%by%autonomous%transportation%systems%such%as%vehicles%e.g.%bs,%bikes,%carriages,%cars,%trucks,%vans%and%aircraft%in%a%networked%environment%with%a%central%management%system%for%optimizing%routes%of%several%vehicles%in%a%network%of%transportation%vehicles%to%perform%additional%maintenance%and/or%hokeeping%activities%such%as%verifying%passengers,%directing%doors%or%compartments%of%the%vehicles%to%lock,%unlock%or%open%under%various%circumstances,%receiving,%storing%and%analyzing%vehicle%telemetry%data%from%the%vehicles,%processing%payment%transactions%for%rs,%receiving%and%responding%to%maintenance%requests%from%the%vehicles,%optimizing%the%routes%of%the%vehicles%for%efficiency%and%to%adhere%to%service%parameters.%%%%%-%The%service%level%parameters%is%related%to%operating%and/or%service%charge%costs,%time%of%day,%holiday%or%event%constraints,%weather%or%meteorological%conditions,%road%conditions,%traffic%or%other%relevant%factors.%The%service%route%analyzer%is%configured%to%analyze%multiple%existing%service%routes%to%identify%an%existing%service%route%and%passenger%capacity%of%a%vehicle%compatible%with%the%request.%The%request%manager%assigns%the%vehicle%to%service%the%request%and%communicate%the%pickup,%destination%and/or%delivery%locations%to%the%vehicle,%when%determining%that%the%additional%time%delay%is%acceptable%for%a%vehicle%having%an%existing%route%that%is%compatible%with%the%request.%The%network%maintenance%supervisor%is%configured%to%oversee%the%maintenance%of%the%vehicles%by%reviewing%and%monitoring%the%vehicle%telemetry%data%to%identify%fuel%levels,%service%mileage%and%operating%hours,%and%other%diagnostic%information.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%a%transportation%system%for%transporting%individuals;%and%%%%(2)%a%method%for%transporting%individuals%by%transportation%system.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%flowchart%illustrating%a%process%of%autonomous%transportation%performed%in%the%networked%environment%for%autonomous%transportation.%%%%Step%for%receiving%a%request%from%transportation%service%(302)%%%%Step%for%identifying%vehicle%compatible%with%the%request%(306)%%%%Step%for%communicating%pickup%and%destination%location%to%the%vehicle%(308)%%%%Step%for%calculating%estimated%pickup%and%delivery%time%(310)%%%%Step%for%communicating%estimated%delivery%time,%a%vehicle%identifier%and%a%cargo%compartment%identifier%to%a%client%device%(312)%","Q47(Locks,windowanddoorfittings)",T01(DigitalComputers),"T05(Counting,Checking,Vending,ATMandPOSSystems)","W06(Aviation,MarineandRadarSystems)"
"Method for controlling autonomous mobile-based automated guided vehicle system to control automated guided vehicle, involves controlling vehicle collision using travel information received by communication between control unit and vehicle",SONG J B;  SON J H;  JUNG M K;  PARK C S,UNIV KOREA RES & BUSINESS FOUND (UYKR-C),"%%%The%method%involves%setting%a%mobile%path%of%an%autonomous%mobile-based%automated%guided%vehicle%(10)%as%mobile%paths%in%unit%of%a%block%through%a%system%input%unit%(50).%A%system%control%unit%(20)%is%allowed%to%apply%an%autonomous%travel%control%signal%to%the%vehicle%to%control%travel%of%the%vehicle,%where%the%vehicle%includes%a%vehicle%communication%unit%(19)%to%transmit%and%receive%travel%information.%Vehicle%collision%between%the%vehicles%is%controlled%to%prevent%vehicle%collision%using%travel%information,%which%is%received%through%communication%between%the%control%unit%and%the%vehicle.%%%%%-%Method%for%controlling%an%autonomous%mobile-based%automated%guided%vehicle%system%that%controls%an%autonomous%mobile-based%automated%guided%vehicle%d%to%carry%goods%or%materials%to%a%designated%place%in%an%industrial%field%i.e.%factory.%%%%%-%The%method%enables%controlling%travel%velocity%of%the%vehicle%to%low%or%high%level%at%a%specific%place%such%that%work%efficiency%can%be%increased%and%the%vehicle%can%travel%along%shortest%path,%which%allows%the%vehicle%system%to%be%easily%d%in%rapid%and%accurate%travel.%The%method%enables%maintaining%magnitude%of%velocity%reduction%coefficient%in%a%desired%manner%to%prevent%collision%and%instability%due%to%sudden%change%in%velocity%and%minimize%collision%to%achieve%safe%travel,%while%reducing%formation%of%deadlock%at%a%switch%block%where%the%travel%mobile%paths%overlap%with%each%other%through%switch%block%control,%thus%achieving%smooth%travel.%%%%%%-%An%INDEPENDENT%CLAIM%is%also%included%for%an%autonomous%mobile-based%automated%guided%vehicle%system%that%controls%an%autonomous%mobile-based%automated%guided%vehicle.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%block%diagram%of%a%mobile-based%automated%guided%vehicle%system.%%%%Autonomous%mobile-based%automated%guided%vehicle%(10)%%%%Vehicle%communication%unit%(19)%%%%System%control%unit%(20)%%%%System%storage%unit%(30)%%%%System%input%unit%(50)%",T06(ProcessandMachineControl),NA,NA,NA
"Roadway and transportation communication system, has first device configured to transmit data to or receive data from second device, and second device configured to transmit to or receive data from first device",GUTIERREZ E,GUTIERREZ E (GUTI-Individual),"%%%The%system%has%a%first%device%configured%to%transmit%a%data%or%receive%and%store%new%data%wirelessly%through%a%non-visual%spectrum%of%light.%A%second%device%is%configured%to%transmit%the%data%pertaining%to%a%second%vehicle%(202),%second%pedestrian%(206),%or%second%roadway%infrastructure%(200)%or%receive%and%store%new%data%wirelessly%through%the%non-visual%spectrum%of%light.%The%first%device%is%configured%to%transmit%data%to%or%receive%data%from%the%second%device,%and%the%second%device%is%further%configured%to%transmit%to%or%receive%data%from%the%first%device.%%%%%-%Roadway%and%transportation%communication%system.%%%%%-%The%system%ously%provides%redundant,%confirmatory%or%control%signals%or%information%or%data%capture,%for%motorist%and/or%autonomous%or%driverless%vehicles.%The%signal%for%the%appropriate%speed%notifies%the%vehicle%and%instructs%the%vehicle%to%reduce%speed%accordingly%in%the%case%of%a%driverless%vehicle.%The%device%or%road%sign%includes%a%filter%system%coupled%to%the%device%configured%to%reduce%non-visual%spectrum%of%light%noise%or%interference%or%enable%selectivity%of%the%desired%signal%or%band.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%a%road%sign;%and%%%%(2)%a%method%for%vehicle,%pedestrian%and%roadway%infrastructure%roadway%communication.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%diagram%illustrating%infrastructure%communicating%with%vehicles%or%vehicles%communicating%with%infrastructure.%%%%Roadway%infrastructure%(200)%%%%Vehicle%(202)%%%%Crossing%gate%(204)%%%%Pedestrain%(206)%",X22(AutomotiveElectrics),NA,NA,US2017018179-A1ProvisionalApplicationUS193937P
Underwater base used for seismic acquisition system has storing unit that receives underwater vehicles as underwater vehicles fall from inlet part into storing unit,LELAURIN A;  BRIZARD T,CGG SERVICES SA (CGGV-C),"%%%The%underwater%base%has%a%storing%unit%(1330)%that%stores%underwater%vehicles%(1332).%An%inlet%part%(1320)%is%located%above%the%storing%unit%to%control%access%of%the%underwater%vehicles%to%the%storing%unit.%A%control%unit%acoustically%guides%the%underwater%vehicles%to%the%inlet%part.%A%support%unit%(1340)%supports%the%control%unit,%the%storing%unit%and%the%inlet%part.%The%storing%unit%receives%the%underwater%vehicles%as%the%underwater%vehicles%fall%from%the%inlet%part%into%the%storing%unit.%%%%%-%Underwater%base%d%for%seismic%acquisition%system%(claimed)%to%handle%underwater%vehicles%with%seismic%sensors%during%marine%seismic%survey.%%%%%-%Ensures%accurate%guiding%of%new%autonomous%underwater%vehicles%to%their%new%positions.%Selects%appropriate%frequency%channels%for%acoustic%beacons%to%adjust%channels%if%necessary,%to%synchronize%acoustic%beacons%and%to%exchange%information%with%acoustic%beacons,%e.g.,%to%send%commands%to%interrogate%autonomous%underwater%vehicles.%Sends%correct%acoustic%signals%so%that%launched%autonomous%underwater%vehicle%can%determine%its%position%relative%to%underwater%base%and/or%ocean%floor.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%the%perspective%view%of%the%inlet%part%of%a%recovery%base.%%%%Inlet%part%(1320)%%%%Autonomous%underwater%vehicle%interface%(1322)%%%%Storing%unit%(1330)%%%%Underwater%vehicles%(1332)%%%%Support%unit%(1340)%","S03(ScientificInstrumentation,photometry,calorimetry)","W06(Aviation,MarineandRadarSystems)",NA,US2017015395-A1ProvisionalApplicationUS844562P;US2017015395-A1ProvisionalApplicationUS840837P;US2017015395-A1ContofApplicationUS104352;US2017015395-A1ContofPatentUS9469382
"Railway test track for introducing transport technology for routing e.g. modern truck, has electronic marks that are designed as measuring points for electronic control system to drive all vehicles autonomously",BIHLER G,BIHLER G (BIHL-Individual),"%%%The%track%has%a%dual%carriageway%(1)%that%is%arranged%on%a%ballast%bed%(2)%and%configured%to%receive%the%traffic%in%both%directions%of%travel%of%the%most%modern%trucks,%prolonged%trucks%and%bs%routed%to%the%carriageway.%The%electronic%marks%(4)%are%embedded%at%intervals%in%the%carriageway.%The%electronic%marks%are%designed%as%the%measuring%points%for%an%electronic%control%system%to%drive%all%vehicles%autonomously.%%%%%-%Railway%test%track%for%introducing%transport%technology%for%routing%modern%truck,%prolonged%truck%and%bus.%%%%%-%The%large%transport%capacity%and%efficiency%is%achieved%in%the%railway%test%track%with%a%transport%technology.%The%road%transport%is%relieved%and%a%large%transport%performance%and%economy%is%obtained.%All%vehicles%are%driven%autonomously%and%guided%by%the%electronic%control%system.%The%personnel%costs%are%extremely%lowered.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%cross-sectional%view%of%the%track%test%track.%%%%Carriageway%(1)%%%%Ballast%bed%(2)%%%%Board%(3)%%%%Electronic%marks%(4)%","Q41(Road,rail,bridgeconstruction)","W05(Alarms,Signalling,TelemetryandTelecontrol)",X23(ElectricRailwaysandSignalling),NA
"Method for attempting to pull over for autonomous vehicles, involves stopping vehicle in current lane to wait for passenger when vehicle is unable to find spot to park vehicle on second attempt",CULLINANE B D;  LU D T;  AULA A K;  ARDEN J;  FAIRFIELD N;  HERBACH J S;  JOHNSON C K;  HUBERT R,GOOGLE INC (GOOG-C),"%%%The%method%involves%receiving%(1210)%instructions%to%pick%up%a%passenger%at%a%pickup%location%for%a%trip%and%determining%(1220)%when%a%vehicle%is%within%a%first%distance%of%the%pickup%location.%A%first%attempt%is%made%(1230)%to%find%a%spot%to%park%the%vehicle%and%wait%for%the%passenger.%The%vehicle%is%maneuvered%(1240)%to%make%a%second%attempt%to%find%a%spot%to%park%the%vehicle%and%wait%for%the%passenger%when%the%vehicle%is%unable%to%find%a%spot%to%park%the%vehicle%on%the%first%attempt.%The%vehicle%is%stopped%(1250)%in%a%current%lane%to%wait%for%the%passenger%maneuvering.%%%%%-%Method%for%attempting%to%pull%over%for%autonomous%vehicles%relates%to%autonomous%vehicle%for%maneuvering%a%r%or%passenger%to%a%destination%e.g.%taking%a%trip,%ful%in%connection%with%specific%types%of%vehicles%including%but%not%limited%to%cars,%trucks,%motorcycles,%bs,%recreational%vehicles,%etc.%%%%%-%The%vehicle%to%respond%in%a%number%of%different%situations%is%allowed%and%the%better%r%experience%is%provided.%The%passenger%to%feel%safe%and%act%quickly%in%case%of%an%immediate%emergency%is%allowed.%The%passenger's%stress%at%having%to%watch%the%vehicle%pass%the%destination%is%reduced.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%a%system%comprising%one%or%more%computing%devices;%and%%%%(2)%a%non-transitory%computer-readable%medium%on%which%instructions%are%stored,%executed%by%one%or%more%processors%and%cas%the%one%or%more%processors%to%perform%a%method.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%flow%diagram%illustrating%a%method%for%attempting%to%pull%over%for%autonomous%vehicles.%%%%Step%for%receiving%the%instructions%(1210)%%%%Step%for%determining%when%the%vehicle%is%within%the%first%distance%(1220)%%%%Step%for%making%a%first%attempt%(1230)%%%%Step%for%maneuvering%the%vehicle%on%the%first%attempt%(1240)%%%%Step%for%stopping%the%vehicle%in%the%second%attempt%(1250)%",T01(DigitalComputers),T06(ProcessandMachineControl),NA,US9547307-B1ProvisionalApplicationUS002319P
