152,US,A1,US 2014/0277895 A1,199-588-539-686-403,2014-09-18,2014,US 201313841408 A,2013-03-15,US 201313841408 A 20130315,Apparatus And Method For Autonomous Control And Balance Of A Vehicle And For Imparting Roll And Yaw Moments On A Vehicle For Test Purposes,MTS SYSTEM CORP,SHANKWITZ CRAIG ROBERT,,BAKER III ARTHUR RICHARD,https://lens.org/199-588-539-686-403,Patent Application,yes,0,5,6,0,G05D1/0891,,B60W30/00,,G01M17/007,,G05D2201/0213,G05D1/00,701/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,US,A1,US 2015/0346718 A1,192-455-060-419-297,2015-12-03,2015,US 201414287898 A,2014-05-27,US 201414287898 A 20140527,Autonomous Vehicle Monitoring And Control,HERE GLOBAL BV,STENNETH LEON OLIVER,https://lens.org/192-455-060-419-297,Patent Application,yes,16,1,1,0,G05D1/0276,,G05D1/0282,,G05D2201/0213,,G06Q30/0611,,G06Q30/0613,,G06Q30/08,,G07C5/00,,G08G1/123,G05D1/00,,G05D1/02,,G06Q30/06,,G06Q30/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,US,B1,US 9587952 B1,127-272-008-471-136,2017-03-07,2017,US 201514849045 A,2015-09-09,US 201514849045 A 20150909,Altering Autonomous Or Semi-autonomous Vehicle Operation Based On Route Traversal Values,ALLSTATE INSURANCE CO,SLUSAR MARK V,https://lens.org/127-272-008-471-136,Granted Patent,yes,0,1,1,0,G01C21/34,,G01C21/3415,,G01C21/3492,,G01S19/13,,G06Q10/00,G01C21/34,,G01S19/13,,G05D1/00,,,,"Capp & Litkouhi, ""The Crash-Proof Car. When cars won't let drivers make mistakes, crashes may become a thing of the past,"" IEEE Spectrum, http://spectrum.ieee.org/transportation/safety/the-crashproof-car, pp. 1-8.;;Maunsell et al., ""Realising the benefits of autonomous vehicles in Australia,"" accenturedigital Brochure, 2014 pp. 1-16.;;Schmitz, Men Mikro Elektronik, ""Taking Data Networks on the Road,"" RTC Magazine, 4 pages.;;Smith & Voggenauer-Graf von Bothmer, ""The Road Towards the Autonomous Car and its Insurance Implications,"" http://cgd.swissre.com/risk-dialogue-magazine/Autonomous-cars/The-road-towards-the . . . , Feb. 4, 2015, Swiss Re, Centre for Global Dialogue, Risk Dialogue Magazine, pp. 1-6.;;Thomas, ""Mercedes-Benz Innovation. The long-haul truck of the future,"" https://www.mercedes-benz.com/en/ mercedes-benz/innovation/the-long-haul-truck-of-the-, Downloaded Feb. 12, 2016; pp. 1-11.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,US,B1,US 8700251 B1,037-177-400-607-570,2014-04-15,2014,US 201213446518 A,2012-04-13,US 201213446518 A 20120413,System And Method For Automatically Detecting Key Behaviors By Vehicles,ZHU JIAJUN,,FERGUSON DAVID I,,DOLGOV DMITRI A,,GOOGLE INC,ZHU JIAJUN,,FERGUSON DAVID I,,DOLGOV DMITRI A,https://lens.org/037-177-400-607-570,Granted Patent,yes,15,3,3,0,B60W30/00,,B60W30/12,,B60W30/16,,B60W2050/0095,,B60W2550/30,,B60W2550/402,,G01C21/34,,G05D1/02,G05D1/02,701/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,US,B1,US 9031732 B1,147-508-201-840-961,2015-05-12,2015,US 201314106928 A,2013-12-16,US 201314106128 A 20131213,Secondary Sources Of Navigation Data For Improved Control Of An Automonous Vehicle,IBM,,LENOVO ENTPR SOLUTIONS SINGAPORE PTE LTD,CUDAK GARY D,,HARDEE CHRISTOPHER J,,RODRIGUEZ ADRIAN X,https://lens.org/147-508-201-840-961,Granted Patent,yes,0,2,2,0,G01C21/26,,G05D1/021,,G05D1/0278,,G05D1/028,,G05D1/0285,,G05D2201/0213,G01C21/26,,G01D1/02,,G05D1/02,701/23,,,"Fujitsu Ltd, ""System and Method for Map Display"" JP2006064705A English Abstract, Mar. 9, 2006, 25 pages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,US,A1,US 2009/0276589 A1,050-476-864-652-194,2009-11-05,2009,US 11223708 A,2008-04-30,US 11223708 A 20080430,Method And Apparatus For Data Download From A Mobile Vehicle,HONEYWELL INT INC,MYLARASWAMY DINKAR,https://lens.org/050-476-864-652-194,Patent Application,yes,3,2,2,0,H04W4/02,,H04L67/18,G06F13/14,,G05B15/02,,G06F12/02,711/162,,700/258,,901/1,,901/2,,901/15,,901/47,,901/46,,X711E12002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,WO,A1,WO 2017/053445 A1,048-958-270-348-443,2017-03-30,2017,US 2016/0052910 W,2016-09-21,US 201562221295 P 20150921,Autonomous Unmanned Underwater Vehicles,LOCKHEED CORP,LICHTER HARRY J,,BAKER WAYNE A,,SYLVIA RUSSELL M,,RODRIGUES STEPHEN W,https://lens.org/048-958-270-348-443,Patent Application,yes,0,4,4,0,B63G8/08,,B63G8/001,,B63G8/14,,B63G8/16,,B63G8/30,,B63G2008/004,,B63G2008/008,B63G8/00,,B63G8/14,,B63G8/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,US,A1,US 2015/0239436 A1,185-002-147-622-081,2015-08-27,2015,US 201214420773 A,2012-09-28,JP 2012075187 W 20120928,Autonomous Moving Apparatus And Autonomous Movement System,HITACHI LTD,KANAI MASAKI,,ARAI MASATSUGU,,ICHINOSE RYOKO,,ONO YUKIHIKO,https://lens.org/185-002-147-622-081,Patent Application,yes,1,9,9,0,B60T7/12,,B60T7/08,,B60T7/18,,B60T8/00,,B60T8/17,,G05D1/021,,G08G1/16,,Y10S901/01,B60T7/12,,B60T8/17,,G05D1/02,,G08G1/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,US,A1,US 2016/0239798 A1,093-759-984-850-996,2016-08-18,2016,US 201514623067 A,2015-02-16,US 201514623067 A 20150216,Autonomous Delivery Of Items,IBM,BORLEY ANDREW J,,JACKSON CALLUM P,,MCMULLAN KATHRYN M,,NORTON PHILIP L,https://lens.org/093-759-984-850-996,Patent Application,yes,0,3,3,0,G06Q10/0833,,B64C2201/128,,G05D1/0088,,G06Q10/08355,,G06Q30/0185,G06Q10/08,,G05D1/00,,G08G5/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,US,A1,US 2017/0135621 A1,015-429-677-706-440,2017-05-18,2017,US 201615351629 A,2016-11-15,KR 20150160725 A 20151116,"Apparatus And Method To Train Autonomous Driving Model, And Autonomous Driving Apparatus",SAMSUNG ELECTRONICS CO LTD,LEE DONG HWA,,KIM CHANG HYUN,,SHIM EUN SOO,,CHOI KI HWAN,,CHOI HYUN JIN,https://lens.org/015-429-677-706-440,Patent Application,yes,0,1,1,0,A61B5/18,,A61B3/0025,,A61B3/10,,A61B5/024,,A61B5/0402,,A61B5/0476,,G05D1/0088,,G06N99/005,A61B5/18,,A61B3/00,,A61B3/10,,A61B5/024,,A61B5/0402,,A61B5/0476,,G05D1/00,,G06N99/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,US,A1,US 2007/0203623 A1,050-736-243-796-919,2007-08-30,2007,US 71000407 A,2007-02-24,US 71000407 A 20070224,,US 77817206 P 20060228,Autonomous Water-borne Vehicle,J3S INC,SAUNDERS JIMMY DALE,,RAYMUND TIMOTHY DANIEL,,SPLAWN JASON CHRISTOPHER,,WHITE SCOTT WILLIAM,,CAMPBELL DEBBIE LEE,,HUYSER CYNTHIA GAYE,,RUSU PETRE,,BRUCKS MARK LEO,https://lens.org/050-736-243-796-919,Patent Application,yes,25,2,2,0,G05D1/0206,,B63B3/04,,B63B5/24,,B63B2035/007,,B63H2005/1258,,Y02T70/14,G05D1/00,701/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,US,A1,US 2016/0131494 A1,000-566-972-102-646,2016-05-12,2016,US 201514796486 A,2015-07-10,KR 20140155540 A 20141110,"Autonomous Driving Vehicle, Autonomous Driving Management Apparatus, And Method Of Controlling The Same",HYUNDAI MOBIS CO LTD,LEE JOO YEOB,https://lens.org/000-566-972-102-646,Patent Application,yes,0,4,4,0,G01C21/3605,,B60W30/14,,H04B7/18506,,H04W24/04,G01C21/36,,B60W30/14,,H04B7/185,,H04W24/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,WO,A1,WO 2016/200762 A1,051-604-095-083-15X,2016-12-15,2016,US 2016/0036136 W,2016-06-07,US 201514733576 A 20150608,Route Risk Mitigation,ALLSTATE INSURANCE CO,BOGOVICH JASON BRIAN,,JORDAN PETERS JULIE A,,SLUSAR MARK V,https://lens.org/051-604-095-083-15X,Patent Application,yes,0,1,15,0,B60W10/20,,G01C21/28,,G06Q40/00,,G06Q40/08,,G08G1/0112,,G08G1/0129,,G08G1/0141,,G08G1/09626,,G08G1/096716,,G08G1/09675,,G08G1/096775,,G08G1/164,,G08G9/02,B60W10/20,,G05D1/00,,G05D1/02,,G06Q40/00,,G06Q40/08,,G08G1/16,,G08G9/02,,,,"WARDZINSKI.: ""Dynamic risk assessment in autonomous vehicles motion planning;"", IEEE , 1ST INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY, GDA?SK, 18 May 2008 (2008-05-18), XP031319203, Retrieved from the Internet <URL:http://kio.pg.gda.pl/iag/download/2008- IEEE % 201CIS-Dynamic%20Risk%20Assessment.pdf> [retrieved on 20160725]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,US,A1,US 2016/0209845 A1,093-635-981-678-129,2016-07-21,2016,US 201514597496 A,2015-01-15,US 201514597496 A 20150115,Autonomous Vehicle Routing And Navigation Using Passenger Docking Locations,NISSAN NORTH AMERICA INC,KOJO NAOKI,,THAKUR SIDDHARTH KUMAR,,MEULEAU NICOLAS,,SAITO DAISUKE,,LELE NIKHIL,https://lens.org/093-635-981-678-129,Patent Application,yes,4,3,10,0,G05D1/0225,,B60N2/002,,G01C21/34,,G01C21/3407,,G05D1/0088,,G06Q10/047,,G08G1/14,,G08G1/146,,G08G1/20,,G08G1/202,G05D1/02,,B60N2/00,,G01C21/34,,G05D1/00,,G08G1/00,,G08G1/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,US,B1,US 8521352 B1,124-456-214-833-369,2013-08-27,2013,US 201213465348 A,2012-05-07,US 201213465348 A 20120507,Controlling A Vehicle Having Inadequate Map Data,FERGUSON DAVID I,,DOLGOV DMITRI A,,GOOGLE INC,FERGUSON DAVID I,,DOLGOV DMITRI A,https://lens.org/124-456-214-833-369,Granted Patent,yes,24,3,3,0,G05D1/0212,,B62D15/0285,,G05D1/0274,,G05D2201/0213,G01C22/00,701/25,,701/2,,701/23,,701/36,,701/41,,701/45,,701/408,,701/409,,701/300,,701/301,,342/29,,342/435,,342/455,,342/458,,342/457,,340/961,,340/435,,340/436,,700/245,,700/259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,US,A,US 6142252 A,130-318-341-665-435,2000-11-07,2000,US 89284897 A,1997-07-11,JP 18206096 A 19960711,,JP 25302896 A 19960925,"Autonomous Vehicle That Runs While Recognizing Work Area Configuration, And Method Of Selecting Route",MINOLTA CO LTD,KINTO YASUHISA,,NAKAMURA KYOKO,,KAWAKAMI YUICHI,,KAWAGOE NOBUKAZU,https://lens.org/130-318-341-665-435,Granted Patent,yes,67,1,5,0,G01S17/936,,A47L2201/04,,G01S17/89,,G05D1/0219,,G05D1/0221,,G05D1/0227,,G05D1/0238,,G05D1/0272,,G05D2201/0203,G01S17/89,,G01S17/93,,G05D1/02,180/204,,180/274,,318/568.12,,318/568.16,,901/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,US,A1,US 2016/0339915 A1,162-960-950-652-911,2016-11-24,2016,US 201615138359 A,2016-04-26,JP 2015100881 A 20150518,Vehicle Control System,TOYOTA MOTOR CO LTD,KUWAHARA SEIJI,,HOSHIYA KAZUMI,,ASAHARA NORIMI,,ITO YOSHIO,,ENDO TAKAHITO,,FUJIYOSHI TADASHI,https://lens.org/162-960-950-652-911,Patent Application,yes,0,2,2,0,B60W10/20,,B60W10/06,,B60W10/184,,B60W30/10,,B60W30/16,,B60W50/10,,B60W2520/10,,B60W2520/105,,B60W2540/10,,B60W2540/12,,B60W2540/18,,B60W2550/308,B60W30/18,,B60W10/04,,B60W10/18,,B60W10/20,,G05D1/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,WO,A1,WO 2016/112154 A1,189-416-028-660-347,2016-07-14,2016,US 2016/0012418 W,2016-01-07,US 201562101421 P 20150109,,US 201614988807 A 20160106,Transitioning From Autonomous Vehicle Control To Operator Vehicle Control,QUALCOMM INC,SPRIGG STEPHEN ALTON,https://lens.org/189-416-028-660-347,Patent Application,yes,0,2,2,0,G05D1/0061,,B60Q9/00,,B60W30/00,,G05D1/0088,,G05D2201/0213,G05D1/02,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,WO,A1,WO 2015/114592 A1,136-588-798-466-59X,2015-08-06,2015,IB 2015050736 W,2015-01-30,PT 10744014 A 20140130,Device And Method For Self-automated Parking Lot For Autonomous Vehicles Based On Vehicular Networking,UNIV DO PORTO,,INST DE TELECOMUNICAÇ ES,,GEOLINK LDA,,UNIV CARNEGIE MELLON,PAIVA FERREIRA MICHEL CELESTINO,,MARTINS DAMAS LUÍS MANUEL,,FERNANDES DA CONCEIÇÃO HUGO MARCELO,,MIRANDA DE ANDRADE DE ALBUQUERQUE D OREY PEDRO,,STEENKISTE PETER,,RODRIGUES GOMES PEDRO EMANUEL,,FERNANDES RICARDO JORGE,https://lens.org/136-588-798-466-59X,Patent Application,yes,2,6,6,0,G08G1/143,,B60W30/06,,G06Q10/08,,G08G1/146,,G08G1/22,G08G1/14,,B60W30/06,,B62D15/02,,G05D1/02,,G06Q10/08,,G08G1/00,,18528393,10.1002/rob.20255,,10.1038/nature06958,,10.1145/1161064.1161070,,10.1016/j.tranpol.2006.05.005,,10.1109/ivs.1996.566343,,10.1145/1080754.1080774,,10.1109/ivs.2014.6856561,,10.1080/01944363.2013.772039,,10.1016/j.tra.2011.09.011,,10.1109/med.2013.6608866,,10.1109/mdm.2013.63,,10.1109/mdm.2013.12,,10.1109/tits.2013.2272100,,10.1109/iccrd.2011.5764091,,10.1109/iros.2007.4399374,,10.1145/1860058.1860077,,10.1016/j.ejor.2008.01.038,,10.1109/vnc.2012.6407431,,10.3233/jcs-2007-15103,"FERREIRA MICHEL ET AL: ""Self-automated parking lots for autonomous vehicles based on vehicular ad hoc networking"", 2014 IEEE INTELLIGENT VEHICLES SYMPOSIUM PROCEEDINGS, IEEE, 8 June 2014 (2014-06-08), pages 472 - 479, XP032620343, DOI: 10.1109/IVS.2014.6856561;;CHRIS URMSON; JOSHUA ANHALT; DREW BAGNELL; CHRISTOPHER BAKER; ROBERT BITTNER; MN CLARK; JOHN DOLAN; DAVE DUGGINS; TUGRUL GALATALI;: ""Autonomous driving in urban environments: Boss and the urban challenge"", JOURNAL OF FIELD ROBOTICS, vol. 25, no. 8, 2008, pages 425 - 466;;JOHN MARKOFF: ""Google cars drive themselves, in traffic"", THE NEW YORK TIMES, vol. 10, 2010;;DONALD C SHOUP: ""Cruising for parking"", TRANSPORT POLICY, vol. 13, no. 6, 2006, pages 479 - 486;;DONALD C SHOUP: ""The high cost of free parking"", vol. 7, 2005, PLANNERS PRESS, AMERICAN PLANNING ASSOCIATION CHICAGO;;MONROE COUNTY: ""Statistical analyses of parking by land use"", TECHNICAL REPORT, DEPARTMENT OF PLANNING AND DEVELOPMENT, August 2007 (2007-08-01);;DEREK EDWARDS: ""Cars kill cities"", PROGRESSIVE TRANSIT BLOG, January 2012 (2012-01-01);;""Vehicular Communications; Basic Set of Applications; Part 2: Specification of Cooperative Awareness Basic Service. Technical Report TS"", ETSI TC ITS. INTELLIGENT TRANSPORT SYSTEMS (ITS, vol. 102, 2011, pages 637 - 2;;MURAT CALISKAN; DANIEL GRAUPNER; MARTIN MAUVE: ""Decentralized discovery of free parking places"", PROCEEDINGS OF THE 3RD INTERNATIONAL WORKSHOP ON VEHICULAR AD HOC NETWORKS, 2006, pages 30 - 39;;JOS N. VAN OMMEREN; DERK WENTINK; PIET RIETVELD: ""Empirical evidence on cruising for parking"", TRANSPORTATION RESEARCH PART A: POLICY AND PRACTICE, vol. 46, no. 1, 2012, pages 123 - 130;;T. RAJABIOUN; B. FOSTER; P. LOANNOU: ""Intelligent Parking Assist"", 21ST MEDITERRANEAN CONFERENCE ON CONTROL AUTOMATION, 2013, pages 1156 - 1161;;A. GRAZIOLI; M. PICONE; F. ZANICHELLI; M. AMORETTI: ""Collaborative Mobile Application and Advanced Services for Smart Parking"", IEEE 14TH INTERNATIONAL CONFERENCE ON MOBILE DATA MANAGEMENT (MDM, vol. 2, 2013, pages 39 - 44;;BO XU; O. WOLFSON; JIE YANG; L. STENNETH; P.S. YU; P.C. NELSON: ""Real-Time Street Parking Availability Estimation"", IEEE 14TH INTERNATIONAL CONFERENCE ON MOBILE DATA MANAGEMENT, vol. 1, 2013, pages 16 - 25;;J.K. SUHR; H.G. JUNG: ""Sensor fusion-based vacant parking slot detection and tracking"", IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS, 2013;;MINGKAI CHEN; CHAO HU; TIANHAI CHANG: ""The Research on Optimal Parking Space Choice Model in Parking Lots"", 3RD INTERNATIONAL CONFERENCE ON COMPUTER RESEARCH AND DEVELOPMENT, vol. 2, 2011, pages 93 - 97;;RAYMOND J. BROWN ET AL.: ""Four wheels on jacks park car"", POPULAR SCIENCE, vol. 125, no. 3, September 1934 (1934-09-01), pages 58;;D.C. CONNER; H. KRESS-GAZIT; H. CHOSET; A.A. RIZZI; G.J. PAPPAS: ""Valet Parking without a Valet"", IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, 2007, pages 572 - 577;;KYOUNGWOOK MIN; JEONGDAN CHOI; HANGEUN KIM; HYUN MYUNG: ""Design and Implementation of Path Generation Algorithm for Control- ling Autonomous Driving and Parking"", 12TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS, 2012, pages 956 - 959;;MICHEL FERREIRA; RICARDO FERNANDES; HUGO CONCEICAO; WANTANEE VIRIYASITAVAT; OZAN K TONGUZ: ""Self-organized traffic control. In Proceedings of the seventh ACM international workshop on VehiculAr InterNETworking"", 2010, ACM, pages: 85 - 90;;KEES JAN ROODBERGEN; IRIS FA VIS: ""A survey of literature on automated storage and retrieval systems"", EUROPEAN JOURNAL OF OPERATIONAL RESEARCH, vol. 194, 2009, pages 343 - 362;;MATT JANCER: ""Take a look inside the first steer-by-wire car"", WIRED, May 2013 (2013-05-01), Retrieved from the Internet <URL:http:Hwww.wi red.co m/a utopia/2013/05/a I_d rive bywi re>;;IGOR E PAROMTCHIK; CHRISTIAN LAUGIER: ""In Intelligent Vehicles Symposium"", 1996, IEEE, article ""Autonomous parallel parking of a nonholonomic vehicle"", pages: 13 - 18;;MAXIM RAYA; JEAN-PIERRE HUBAUX: ""Securing vehicular ad hoc networks"", JOURNAL OF COMPUTER SECURITY, vol. 15, no. 1, 2007, pages 39 - 68;;MARTA C GONZALEZ; CESAR A HIDALGO; ALBERT-LASZLO BARABASI: ""Understanding individual human mobility patterns"", NATURE, vol. 453, no. 7196, 2008, pages 779 - 782;;RICARDO FERNANDES; FAUSTO VIEIRA; MICHEL FERREIRA. VNS: ""An integrated framework for vehicular networks simulation"", VEHICULAR NETWORKING CONFERENCE (VNC), 2012 IEEE, 2012, pages 195 - 202;;""Your driving costs"", 2013, AAA ASSOCIATION COMMUNICATION, article ""American Automobile Association""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,US,A1,US 2016/0176397 A1,197-044-609-408-647,2016-06-23,2016,US 201414581739 A,2014-12-23,US 201414581739 A 20141223,Risk Mitigation For Autonomous Vehicles Relative To Oncoming Objects,TOYOTA ENG & MFG NORTH AMERICA,PROKHOROV DANIL V,,VLADIMEROU VLADIMEROS,https://lens.org/197-044-609-408-647,Patent Application,yes,0,2,2,0,B60W30/09,,B60W2550/10,,G05D1/0088,,G05D1/0214,,G05D2201/0213,B60W30/09,,G05D1/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,US,A1,US 2015/0149023 A1,157-501-150-489-104,2015-05-28,2015,US 201314088031 A,2013-11-22,US 201314088031 A 20131122,Modified Autonomous Vehicle Settings,FORD GLOBAL TECH LLC,ATTARD CHRISTOPHER,,ELWART SHANE,,GREENBERG JEFF ALLEN,,JOHRI RAJIT,,KOCHHAR DEVINDER SINGH,,RHODE DOUGLAS SCOTT,,SHUTKO JOHN,,TSENG ERIC HONGTEI,https://lens.org/157-501-150-489-104,Patent Application,yes,5,5,5,0,B60W30/182,,B60R16/037,,B60W50/10,B60W30/182,,B60W50/10,701/28,,701/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,US,A1,US 2017/0057520 A1,038-821-800-404-941,2017-03-02,2017,US 201615252152 A,2016-08-30,US 201562212577 P 20150831,Control System For Autonomous-capable Vehicles,UBER TECH INC,LETWIN NICHOLAS,,JONES MORGAN,,SERGI-CURFMAN MICHAEL,https://lens.org/038-821-800-404-941,Patent Application,yes,0,2,2,0,B60W50/082,,B60W2510/18,,B60W2510/20,,B60W2540/04,,B60W2600/00,,G05D1/0061,,G05D1/0088,B60W50/08,,G05D1/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
